3-v	8-v	0.9197589548577035
16-v	0.919905238704929
25-v	32-v	0.9198886767716263
64-v	0.9205915952985195
128-v	256-v	512-v	3-n	8-n	0.7730437068554237
16-n	0.7730257873239504
25-n	32-n	0.7729793148437538
64-n	128-n	256-n	512-n	
